调整日期,1年期存款基准利率,1年期贷款基准利率
2022/9/15,1.65,
2015/10/24,1.5,4.35
2015/8/26,1.75,4.6
2015/6/28,2,4.85
2015/5/11,2.25,5.1
2015/3/1,2.5,5.35
2014/11/22,2.75,5.6
2012/7/6,3,6
2012/6/8,3.25,6.31
2011/7/7,3.5,6.56
2011/4/6,3.25,6.31
2011/2/9,3,6.06
2010/12/26,2.75,5.81
2010/10/20,2.5,5.56
2008/12/23,2.25,5.31
2008/11/27,2.52,5.58
2008/10/30,3.6,6.66
2008/10/9,3.87,6.93
2008/9/16,4.14,7.2
2007/12/21,4.14,7.47
2007/9/15,3.87,7.29
2007/8/22,3.6,7.02
2007/7/21,3.33,6.84
2007/5/19,3.06,6.57
2007/3/18,2.79,6.39
2006/8/19,2.52,6.12
2006/4/28,2.25,5.85
2004/10/29,2.25,5.58
2002/2/21,1.98,5.31
